id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
rs_132,"Wholesale merchandise",132,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_133,"Merchandise in storehouse, depot and other legal entities’ shops",133,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_134,"Merchandise in retail sale",134,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_135,"Merchandise being processed, finished off and handled",135,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_136,"Merchandise in transit",136,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_137,"Merchandise in transport",137,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_139,"Provisions for merchandise",139,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_140,"Intangibles held for trading",140,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_141,"Land held for trading",141,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_142,"Buildings held for trading",142,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_143,"Investment property held for trading",143,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_144,"Other property held for trading",144,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_145,"Plant and equipment held for trading",145,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_146,"Biological assets held for trading",146,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_147,"Assets of discounting operations",147,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_149,"Provisions for assets held for trading",149,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_150,"Advances paid for material, spare parts and tools - domestic",150,account.data_account_type_prepayments,l10n_rs.l10n_rs_chart_template,,False
rs_151,"Advances paid for material, spare parts and tools - foreign",151,account.data_account_type_prepayments,l10n_rs.l10n_rs_chart_template,,False
rs_152,"Advances paid for goods - domestic",152,account.data_account_type_prepayments,l10n_rs.l10n_rs_chart_template,,False
rs_153,"Advances paid for goods - foreign",153,account.data_account_type_prepayments,l10n_rs.l10n_rs_chart_template,,False
rs_154,"Advances paid for services - domestic",154,account.data_account_type_prepayments,l10n_rs.l10n_rs_chart_template,,False
rs_155,"Advances paid for services - foreign",155,account.data_account_type_prepayments,l10n_rs.l10n_rs_chart_template,,False
rs_159,"Provisions for advances paid",159,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_200,"Trade receivables - domestic parent companies and subsidiaries",200,account.data_account_type_receivable,l10n_rs.l10n_rs_chart_template,,True
rs_201,"Trade receivables - foreign parent companies and subsidiaries",201,account.data_account_type_receivable,l10n_rs.l10n_rs_chart_template,,True
rs_202,"Trade receivables - domestic other associated entities",202,account.data_account_type_receivable,l10n_rs.l10n_rs_chart_template,,True
rs_203,"Trade receivables - foreign other associated entities",203,account.data_account_type_receivable,l10n_rs.l10n_rs_chart_template,,True
rs_204,"Trade receivables - domestic third party",204,account.data_account_type_receivable,l10n_rs.l10n_rs_chart_template,,True
rs_205,"Trade receivables - foreign third party",205,account.data_account_type_receivable,l10n_rs.l10n_rs_chart_template,,True
rs_206,"Other trade receivables",206,account.data_account_type_receivable,l10n_rs.l10n_rs_chart_template,,True
rs_209,"Provisions for trade receivables",209,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_210,"Receivables from exporters",210,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_211,"Receivables due from import on behalf of other entities",211,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_212,"Receivables from sales on commission and consignment",212,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_218,"Other receivables from specific business operations",218,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_219,"Provisions for receivables from specific business operations",219,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_220,"Receivables for interest and dividends",220,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_221,"Receivables from employees",221,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_222,"Receivables from state authorities and organizations",222,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
